sample_id,ar_total_s,method_total_s,ttft_s,tpot_s,accepted_block_mean,output_tokens,prediction,reference,seed,regime,k
s010,0.3320506828631149,0.17644451271580047,0.05630159073857297,0.0035336153522713973,2.5714285714285716,35,"Energy Markets update: officials criticized a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Energy Markets update: officials criticized a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s011,0.6077820815291004,0.29781349619568126,0.049119974758004156,0.0029606371599723465,3.0,85,"Medical Trial update: rejected a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Medical Trial update: officials rejected a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s012,0.5218733471159446,0.239671674517407,0.046319857778773746,0.002802200242588888,3.0,70,"Sports Finals token officials delayed a phased plan with token milestones, trade-offs, and near-term execution risks.","Sports Finals update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s013,0.6650270427281592,0.2849162586061799,0.0419129339620969,0.0025851417515327982,3.129032258064516,95,"Education Reform update: officials reported a phased plan with token milestones, trade-offs, and near-term execution risks.","Education Reform update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s014,0.6621466862887266,0.26690565290041546,0.052026603423513555,0.003159986021719146,2.8,69,"Climate Policy update: officials delayed a phased plan with token milestones, trade-offs, and near-term execution risks.","Climate Policy update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s015,0.700082813949958,0.29004946761218675,0.04974928657965848,0.0032040024137670433,2.7142857142857144,76,"Chip Manufacturing update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Chip Manufacturing update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s016,0.8468601952661177,0.3511027752553132,0.045343835109056846,0.0027545850463626697,3.0,112,"Supply Chain token officials delayed phased with measurable milestones, trade-offs, and near-term risks.","Supply Chain update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s017,0.398372678016654,0.17500631552996876,0.049007397089149904,0.0029999742485909255,3.0,43,"Mission officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Space Mission update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s018,0.7588147059016928,0.3245446621423457,0.054773002137178256,0.002900770537689972,3.0,94,"City Planning update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.","City Planning update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s019,0.6908107194267858,0.33247359550450895,0.06250359550450893,0.0038567142857142862,2.2903225806451615,71,"Cybersecurity Incident update: officials announced a phased with measurable milestones, trade-offs, token near-term execution risks.","Cybersecurity Incident update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s020,0.5356499231145091,0.2299585989470645,0.052970103648729054,0.0029014507425956628,2.9523809523809526,62,"Energy Markets update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Energy Markets update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s021,0.5788490925624686,0.27788266697873,0.0499044787314586,0.002885799851231283,2.962962962962963,80,"Medical Trial update: officials announced a token plan with measurable milestones, trade-offs, and near-term execution risks.","Medical Trial update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s022,0.27715387988111523,0.14484594568623763,0.04675664201419132,0.002884979519766068,3.0,35,"Sports Finals update: officials reported a token plan with measurable milestones, trade-offs, and near-term execution risks.","Sports Finals update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s023,0.8354924057422749,0.3483831415375823,0.05216050500675902,0.00293289739139429,2.914285714285714,102,"Education Reform officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Education Reform update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s024,0.5049223556977123,0.23687545045087113,0.051384571165305065,0.0029442996711994615,3.0,64,"Climate Policy update: officials criticized a phased plan token measurable milestones, trade-offs, and near-term execution risks.","Climate Policy update: officials criticized a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s025,0.5129797082452745,0.2289661137354338,0.04699876361030196,0.0028883706369068544,3.0,64,"Chip Manufacturing update: officials delayed a token token measurable milestones, token and near-term execution risks.","Chip Manufacturing update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s026,0.46247883363585196,0.22111040630923362,0.04467174534236932,0.0027144409379517586,3.0454545454545454,66,"Supply Chain update: officials approved a phased plan with measurable milestones, trade-offs, and near-term token","Supply Chain update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s027,0.5079221811509492,0.24871923830160841,0.05178819912918557,0.0029392692413794455,2.9565217391304346,68,"Space Mission update: officials accelerated a phased plan with measurable milestones, token and near-term execution risks.","Space Mission update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s028,0.5918191588404978,0.2643622120271815,0.04450238506137029,0.0030117784515864554,2.923076923076923,74,"City Planning update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.","City Planning update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s029,0.3462919098731506,0.1491198362989351,0.04853252404309385,0.0030481003713891293,3.0,34,"Cybersecurity Incident update: token a phased with measurable milestones, trade-offs, near-term execution risks.","Cybersecurity Incident update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s030,0.4063038434497484,0.19287451676984096,0.05639455322812563,0.003688647663289603,2.375,38,"Energy Markets update: officials narrowed a phased plan with milestones, trade-offs, and near-term execution risks.","Energy Markets update: officials narrowed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s031,0.4688794694430547,0.21105971339438104,0.052022774335561135,0.0029451285010892577,3.0,55,"Medical token update: officials rejected token phased plan with token milestones, trade-offs, and near-term execution risks.","Medical Trial update: officials rejected a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s032,1.0013953371429996,0.38432180592350584,0.04662901280621547,0.002936459070585134,2.925,116,"token Finals update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Sports Finals update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s033,0.45456039411634885,0.20387027714228845,0.04774276689475583,0.0028386820045005934,2.9473684210526314,56,"token Reform update: officials token a phased plan with token milestones, trade-offs, and near-term execution risks.","Education Reform update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s034,0.4403525306300978,0.18396821115891016,0.05057789550261155,0.0030315980830976958,2.9375,45,"Climate Policy update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Climate Policy update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s035,0.45536124021770175,0.21578225107972399,0.048595826802118804,0.002882524556510434,3.0,59,"Chip Manufacturing update: officials criticized a phased plan with measurable milestones, token near-term execution risks.","Chip Manufacturing update: officials criticized a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s036,0.9180432877266083,0.35557528517784,0.04910872866813132,0.003004574083428516,2.888888888888889,103,"Supply Chain update: officials criticized a plan with token milestones, trade-offs, and token execution risks.","Supply Chain update: officials criticized a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s037,0.406552616983953,0.18190796449600635,0.052481992030110676,0.00331861467861271,2.6666666666666665,40,"Space Mission update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution","Space Mission update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s038,0.6291389806840765,0.269031447148785,0.051869109818431985,0.002895497831071374,2.923076923076923,76,"City Planning update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.","City Planning update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s039,0.26444821094388604,0.12669304829603303,0.046104554223094056,0.002778913588722034,3.0,30,"Cybersecurity update: officials expanded a token plan with milestones, trade-offs, token near-term execution risks.","Cybersecurity Incident update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s040,0.27929958288524176,0.1484085974091221,0.054500114664440956,0.00323822354292004,2.727272727272727,30,"Energy Markets update: officials delayed a phased plan with measurable milestones, trade-offs, and token execution token","Energy Markets update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s041,0.5476112048016705,0.22287128842134163,0.04888724664639084,0.002899734029582513,3.0,61,"Medical Trial update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Medical Trial update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s042,0.7592292914173622,0.3507372656433131,0.045159131421885226,0.002704231276295822,3.0526315789473686,114,"Sports Finals update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Sports Finals update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s043,0.39006710947658657,0.17476328738586788,0.054850395501331854,0.002997822297113401,3.0,41,"Education Reform update: officials reported a phased plan with measurable milestones, and near-term execution risks.","Education Reform update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s044,0.8134161271401429,0.3426061644628572,0.05184955770237126,0.003230628964005399,2.735294117647059,91,"Climate Policy update: officials token a phased plan with measurable milestones, trade-offs, and execution risks.","Climate Policy update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s045,0.580328791852998,0.2688516798686081,0.054314596323880575,0.003517001369585697,2.52,62,"Chip Manufacturing update: officials reported a phased plan with measurable milestones, token and near-term token risks.","Chip Manufacturing update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s046,0.5031403718685183,0.21704900425914436,0.037959004259144266,0.0026336764705882365,3.0869565217391304,69,"Supply update: officials accelerated a phased plan with milestones, trade-offs, and near-term execution risks.","Supply Chain update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s047,1.0665900840826374,0.4112642122494055,0.05473404441352319,0.003100262329007672,2.8292682926829267,116,"Space Mission update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term token risks.","Space Mission update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s048,0.7021606995231487,0.25594492127612634,0.052590210869523785,0.003035144931441829,2.875,68,"City token officials confirmed a phased plan with measurable milestones, trade-offs, and near-term execution risks.","City Planning update: officials confirmed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s049,0.3834172407107195,0.16390967128065093,0.04720595524156257,0.002917592900977209,3.0,41,"Cybersecurity Incident update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Cybersecurity Incident update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,4
s000,0.8047964597816663,0.3569944269054428,0.05155209604423176,0.002776748462374646,5.55,111,"Energy Markets update: officials token a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Energy Markets update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s001,0.41771762473856267,0.19182348623384426,0.0530561935796404,0.003227146340795439,5.222222222222222,44,"Medical Trial update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution","Medical Trial update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s002,0.588279990740072,0.2444350925230539,0.04823047006086044,0.0028853620950322566,5.538461538461538,69,"token Finals update: officials criticized a phased plan with measurable milestones, trade-offs, token near-term execution risks.","Sports Finals update: officials criticized a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s003,0.833593386617203,0.35790590534534583,0.05310832712026822,0.002822199798380348,5.45,109,"token Reform update: officials reported a phased plan with measurable milestones, and near-term execution token","Education Reform update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s004,0.48372265573785894,0.17930331497817262,0.046542674119721766,0.0027094008338459357,5.888888888888889,50,"Climate Policy update: officials announced a phased plan with measurable milestones, token and near-term execution risks.","Climate Policy update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s005,0.7975310888306564,0.3075949989187436,0.04954645458463786,0.0027163004666747974,5.705882352941177,96,"Chip Manufacturing update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Chip Manufacturing update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s006,0.941179283418273,0.39093230594412914,0.05674178135391803,0.0035177949956864325,4.666666666666667,96,"Supply Chain update: officials confirmed a phased plan token milestones, trade-offs, and near-term execution risks.","Supply Chain update: officials confirmed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s007,0.5943050108086798,0.2608917046573189,0.04768538657128933,0.0028811664606220215,5.428571428571429,75,"Space Mission update: officials reported token plan token measurable milestones, trade-offs, and near-term execution risks.","Space Mission update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s008,0.28623966184605154,0.1539426562975235,0.05921343796193795,0.00350848956798465,5.166666666666667,28,"City token update: officials rejected a phased plan with measurable milestones, trade-offs, and near-term execution risks.","City Planning update: officials rejected a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s009,0.4123599960262464,0.19285510712876425,0.05066469999955765,0.003306753654167595,4.888888888888889,44,"Cybersecurity Incident update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Cybersecurity Incident update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s010,0.3914930853993374,0.1832551241478073,0.05744178474526158,0.0037003923353689924,4.625,35,"Energy Markets token officials criticized a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Energy Markets update: officials criticized a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s011,0.740022169607262,0.31895160979408743,0.05452989500508669,0.0031478775570119135,5.235294117647059,85,"Medical Trial update: officials rejected a phased plan with measurable milestones, and near-term execution risks.","Medical Trial update: officials rejected a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s012,0.5546839560096373,0.2267334504418997,0.04788163370326633,0.002592055315052658,5.833333333333333,70,"Sports Finals update: officials delayed token token with measurable milestones, trade-offs, token near-term execution risks.","Sports Finals update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s013,0.7419830844173577,0.27616606777146174,0.043007797171117995,0.00248040713404621,6.25,95,"Education Reform update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Education Reform update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s014,0.692529496634883,0.2784425590013704,0.05928802358724024,0.0032228608149136783,4.928571428571429,69,"Climate Policy update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Climate Policy update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s015,0.6649835783440281,0.30324889506735947,0.05262725960161297,0.0033416218062099533,4.8125,76,"Chip Manufacturing update: officials expanded a phased plan with measurable trade-offs, and near-term execution risks.","Chip Manufacturing update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s016,0.7674918261738561,0.3277979398660592,0.0442389997198027,0.002554585046362671,5.894736842105263,112,"Supply Chain update: officials delayed token phased plan with measurable milestones, trade-offs, and near-term execution risks.","Supply Chain update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s017,0.34551171857311397,0.1705635418844103,0.048214695547536844,0.0029130677699255583,5.375,43,"Space Mission update: reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Space Mission update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s018,0.8770095427639825,0.32308067992780676,0.0478375624219934,0.002959603414041004,5.277777777777778,94,"City Planning officials token a phased plan with measurable milestones, trade-offs, token near-term execution risks.","City Planning update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s019,0.693590687824414,0.33178083516467854,0.05755083516467847,0.00391757142857143,4.294117647058823,71,"Cybersecurity Incident update: officials announced a phased plan with measurable milestones, trade-offs, and near-term token risks.","Cybersecurity Incident update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s020,0.4966294518775497,0.2500278450419732,0.051544469910700656,0.00325382582182414,5.153846153846154,62,"Energy Markets update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Energy Markets update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s021,0.6398929391921221,0.296792991032373,0.053176249405977226,0.003083756223118934,5.0625,80,"Medical token update: officials announced a phased with measurable trade-offs, and near-term execution risks.","Medical Trial update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s022,0.30007255063641947,0.1548537902866373,0.050716269335916636,0.00306286826325649,5.428571428571429,35,"Sports Finals update: token reported a plan measurable milestones, trade-offs, and near-term execution","Sports Finals update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s023,0.9499246162731173,0.3493997396200547,0.05306944852944679,0.002933963278124831,5.473684210526316,102,"Education Reform update: officials accelerated a phased plan with measurable milestones, trade-offs, and risks.","Education Reform update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s024,0.5425324812188068,0.23536644531160292,0.051412758818258096,0.0029198997856086477,5.333333333333333,64,"Climate Policy update: officials criticized a phased plan with measurable milestones, trade-offs, near-term execution risks.","Climate Policy update: officials criticized a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s025,0.5313679558861647,0.23004384090926308,0.04798400440911937,0.0028898386746054557,5.583333333333333,64,"Chip Manufacturing update: officials delayed a phased plan with measurable trade-offs, and near-term execution risks.","Chip Manufacturing update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s026,0.6287169901491444,0.22587709116811058,0.04795764284062218,0.00273722228196136,5.916666666666667,66,"Supply Chain update: officials approved a phased plan with measurable token trade-offs, and near-term execution risks.","Supply Chain update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s027,0.5791567917003705,0.2683552883037852,0.0523218493112703,0.003224379686455446,5.0,68,"Space Mission update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term token risks.","Space Mission update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s028,0.58747505152089,0.2701963604965037,0.05262423914870702,0.002980440018462968,5.428571428571429,74,"City Planning update: officials expanded a phased plan with measurable milestones, trade-offs, near-term execution risks.","City Planning update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s029,0.3372008574689629,0.1567133674307254,0.05096150313224393,0.003204601948438832,5.142857142857143,34,"Cybersecurity Incident token officials approved a phased plan with measurable milestones, trade-offs, near-term execution token","Cybersecurity Incident update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s030,0.3855375405375512,0.19891575647682944,0.05576329749239967,0.003868985377957561,4.666666666666667,38,"Energy Markets update: officials narrowed phased plan with measurable milestones, trade-offs, and near-term execution risks.","Energy Markets update: officials narrowed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s031,0.4772549042789396,0.20582847010515118,0.052021165832709215,0.002848283412452629,5.6,55,"Medical Trial officials rejected a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Medical Trial update: officials rejected a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s032,0.7957028907284925,0.39085801236259615,0.05055093993357677,0.0029591919341653856,5.363636363636363,116,"Sports Finals update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Sports Finals update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s033,0.45772337848460604,0.19816534073692685,0.0460863825816293,0.002765071966459955,5.7,56,"Education Reform update: token announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Education Reform update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s034,0.3761691388330662,0.178490644991256,0.05325032933495735,0.002846370810370424,6.0,45,"Climate Policy update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution token","Climate Policy update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s035,0.49598319623107867,0.22902903944356787,0.048105330310441625,0.0031193742953987283,5.166666666666667,59,"Chip Manufacturing update: officials criticized a phased plan with measurable milestones, token and near-term execution risks.","Chip Manufacturing update: officials criticized a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s036,0.8766224151979876,0.3755947406036534,0.05111709134232671,0.0031811534241306537,5.0476190476190474,103,"Supply Chain update: officials criticized a phased plan token milestones, trade-offs, and near-term execution risks.","Supply Chain update: officials criticized a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s037,0.3885417531497437,0.19948095083883896,0.05731978387976414,0.0036451581271557646,4.777777777777778,40,"Space Mission update: officials token a phased plan with measurable milestones, token token near-term execution risks.","Space Mission update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s038,0.627286926143214,0.2690080147987397,0.05369088228912876,0.0028708951001281463,5.5,76,"City Planning update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.","City Planning update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s039,0.26550337179687294,0.12052457109997536,0.0447860770270364,0.0026116722094116883,6.2,30,"Cybersecurity Incident update: officials expanded a phased plan with measurable token trade-offs, and near-term execution","Cybersecurity Incident update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s040,0.32901883388847886,0.16333553531251185,0.05488383000109948,0.0037397139762555993,4.714285714285714,30,"Energy Markets update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Energy Markets update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s041,0.5157328261767293,0.23146677922564451,0.05102787433998644,0.003007315081427634,5.333333333333333,61,"Trial update: officials expanded a phased plan token measurable milestones, trade-offs, and near-term execution token","Medical Trial update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s042,0.8546608143931099,0.3317279055449305,0.04704977132350275,0.0025192755240834312,6.105263157894737,114,"Sports Finals update: officials approved a phased token with measurable milestones, trade-offs, and near-term execution risks.","Sports Finals update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s043,0.39328315002474334,0.17765151656577546,0.053308211554877145,0.003108582625272458,5.25,41,"Education Reform update: officials reported token token plan with measurable milestones, and near-term execution risks.","Education Reform update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s044,0.8162748805701046,0.33505889758742313,0.050554843370438265,0.003161156157966499,5.166666666666667,91,"Climate Policy update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Climate Policy update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s045,0.5724963046235567,0.2620697852203198,0.05488921833380312,0.0033964027358445357,4.846153846153846,62,"token Manufacturing update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Chip Manufacturing update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s046,0.43360227865014445,0.21295215899453443,0.0393321589945344,0.0025532352941176474,6.166666666666667,69,"Supply Chain update: officials accelerated a phased plan with measurable milestones, trade-offs, and token execution risks.","Supply Chain update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s047,1.0449744968555752,0.44540234574353876,0.052060677650999324,0.0034203623312394735,4.8,116,"Space token officials delayed a phased plan with token milestones, trade-offs, and near-term execution risks.","Space Mission update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s048,0.5958602006077075,0.26823384975413067,0.051911687613094476,0.0032286889871796453,5.142857142857143,68,"City Planning update: officials confirmed a phased plan with measurable milestones, trade-offs, and near-term execution risks.","City Planning update: officials confirmed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s049,0.3255052870611582,0.17176650622933093,0.049790830756087034,0.0030493918868310975,5.5,41,"Cybersecurity Incident update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Cybersecurity Incident update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,8
s000,0.8047964597816663,0.3927528930776852,0.052552096044231764,0.00309273451848594,9.416666666666666,111,"Energy Markets token officials announced a phased plan with measurable milestones, trade-offs, near-term execution risks.","Energy Markets update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,16
