sample_id,ar_total_s,method_total_s,ttft_s,tpot_s,accepted_block_mean,output_tokens,prediction,reference,seed,regime,rescue_alpha,window_size,cooling_tokens
s010,0.3736458930471794,0.1806161230111563,0.05183074186607873,0.003787805327796399,7.4,35,"Energy Markets update: officials criticized a plan with measurable milestones, trade-offs, and near-term execution risks.","Energy Markets update: officials criticized a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s011,0.7128382595767656,0.3163165392517153,0.049859696728661626,0.0031721052681315913,8.6,85,"Medical Trial update: officials rejected phased plan with measurable milestones, trade-offs, and near-term execution risks.","Medical Trial update: officials rejected a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s012,0.6125160354590174,0.24307867585119397,0.04150788202023141,0.002921315852622646,9.5,70,"Sports Finals update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Sports Finals update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s013,0.5716822210268535,0.2616324192457959,0.036271072984217216,0.0023974611304423267,10.666666666666666,95,"Education Reform update: officials reported a phased plan with token milestones, token and near-term execution risks.","Education Reform update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s014,0.5926948576277049,0.2872895562729587,0.0479895997132308,0.0035191170082312932,7.888888888888889,69,"Climate Policy update: officials delayed a phased plan with token milestones, trade-offs, and near-term execution risks.","Climate Policy update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s015,0.6037201126834015,0.3215354959189962,0.054804560514979575,0.003556412472053555,7.6,76,"Chip Manufacturing update: officials expanded token phased plan with measurable milestones, trade-offs, near-term execution risks.","Chip Manufacturing update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s016,0.8183451065129618,0.3527111237461315,0.04533480474468367,0.0027691560270400708,9.583333333333334,112,"Supply Chain update: officials delayed token phased plan with measurable trade-offs, token near-term execution risks.","Supply Chain update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s017,0.3609818696864779,0.17156590252110737,0.04582707060502301,0.002993781712287723,8.8,43,"Space Mission update: officials reported a phased plan with measurable milestones, trade-offs, token near-term execution risks.","Space Mission update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s018,0.7791706483961781,0.3398950199471822,0.04845724656607817,0.0031337394987215484,9.0,94,"City Planning update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.","City Planning update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s019,0.6640596124429297,0.3343390220649346,0.0570050220649345,0.003961914285714287,7.1,71,"Cybersecurity Incident update: officials announced token plan measurable milestones, trade-offs, and near-term execution risks.","Cybersecurity Incident update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s020,0.4473874317894626,0.2540470078453174,0.046014656747457444,0.003410366411440327,8.625,62,"Energy Markets update: officials a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Energy Markets update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s021,0.7016740166904456,0.2889673643384562,0.05124541765821526,0.00300913856557267,9.0,80,"Medical Trial update: a phased plan with measurable milestones, trade-offs, and token execution risks.","Medical Trial update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s022,0.26982640254248835,0.1433931158177894,0.04592934696214082,0.0028665814369308405,9.5,35,"Sports Finals update: officials reported a plan with measurable token trade-offs, and near-term execution risks.","Sports Finals update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s023,0.9238834327218877,0.3921577935320254,0.04753297513525272,0.0034121269148195315,8.307692307692308,102,"Education Reform update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Education Reform update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s024,0.4911760779197928,0.2537004001041451,0.0483025027991321,0.003260284084206555,8.25,64,"token Policy update: officials token a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Climate Policy update: officials criticized a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s025,0.5265248224614837,0.25187696693849176,0.04702340087583002,0.0032516439057565356,9.0,64,"Chip Manufacturing update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Chip Manufacturing update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s026,0.46053019803575174,0.22092648289120898,0.043831270771907724,0.002724541724912327,10.285714285714286,66,"Supply Chain token officials approved a phased plan with measurable milestones, trade-offs, near-term execution token","Supply Chain update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s027,0.5922411063679796,0.28755817667372696,0.0504894897747642,0.00353833861043228,8.222222222222221,68,"Space Mission update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Space Mission update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s028,0.6540007939951386,0.28438523242646224,0.04926712838208449,0.003220795945813394,8.333333333333334,74,"City Planning update: officials expanded a phased with measurable milestones, trade-offs, and near-term execution risks.","City Planning update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s029,0.31607632503454,0.17168907299929553,0.04686620145390985,0.0037825112589510808,8.6,34,"Cybersecurity Incident update: officials approved a phased plan with measurable trade-offs, and near-term execution risks.","Cybersecurity Incident update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s030,0.3735619358610112,0.18209869855377198,0.05145148546778519,0.003531005759080724,7.6,38,"Energy Markets token officials narrowed a phased plan with measurable milestones, trade-offs, and token execution risks.","Energy Markets update: officials narrowed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s031,0.5064970713837244,0.2297147209355898,0.05002817493683272,0.003327528629606613,8.857142857142858,55,"token Trial update: token token phased plan measurable milestones, trade-offs, and near-term execution risks.","Medical Trial update: officials rejected a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s032,1.0325835332216673,0.42374784718325254,0.04959185354574466,0.0032535303794565904,8.714285714285714,116,"Sports Finals update: officials approved token plan with measurable milestones, trade-offs, and near-term execution risks.","Sports Finals update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s033,0.4193210701755314,0.22672732069873136,0.04919343965703325,0.0032278887462126927,9.0,56,"Education Reform update: officials announced a phased plan with measurable milestones, token and near-term execution risks.","Education Reform update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s034,0.37355220219157304,0.19174008739702264,0.042275196772353064,0.003396929332378854,8.0,45,"Climate Policy update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Climate Policy update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s035,0.5501089926441406,0.22468696220869241,0.04714884580389436,0.0030610020069792767,8.428571428571429,59,"token Manufacturing update: officials criticized a phased plan with measurable milestones, trade-offs, token near-term execution risks.","Chip Manufacturing update: officials criticized a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s036,0.8566070956369168,0.3991490846968279,0.04966588905969219,0.0034263058395797618,8.538461538461538,103,"Supply Chain update: officials criticized a phased plan with measurable milestones, trade-offs, and execution risks.","Supply Chain update: officials criticized a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s037,0.3773002608055495,0.2090478685300059,0.05284558487502351,0.004005186760384164,7.333333333333333,40,"Space Mission token officials accelerated a phased plan measurable milestones, trade-offs, near-term execution risks.","Space Mission update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s038,0.6498553215489637,0.28218757017573415,0.045834203933087875,0.0031513782165686175,9.11111111111111,76,"City Planning update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution token","City Planning update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s039,0.26523348659935975,0.1386686128980067,0.042657110366103576,0.003310741466617349,9.5,30,"Cybersecurity Incident update: token expanded token phased plan with measurable milestones, trade-offs, and near-term execution risks.","Cybersecurity Incident update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s040,0.2919050179852297,0.1578516307722499,0.05799009599197875,0.0034435011993196947,7.75,30,"Energy Markets update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Energy Markets update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s041,0.4522746943542049,0.23057090856772838,0.05099297630421174,0.0029929655377252773,9.285714285714286,61,"Medical Trial update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Medical Trial update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s042,0.822108659789595,0.3594465838596612,0.04927356394473724,0.0027448939815479995,10.166666666666666,114,"Sports Finals update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Sports Finals update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s043,0.3743003990759531,0.20003629412305127,0.046225204172064605,0.0038452772487746665,8.166666666666666,41,"Education Reform update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Education Reform update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s044,0.8087539354877417,0.37181169182193136,0.04898952947239872,0.003586912914994807,7.916666666666667,91,"Climate update: officials a phased plan token measurable milestones, trade-offs, and near-term execution risks.","Climate Policy update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s045,0.5642473153222974,0.2683694296461258,0.05301537941782004,0.003530394266037799,7.75,62,"Chip Manufacturing update: officials reported a phased plan with milestones, trade-offs, and near-term execution risks.","Chip Manufacturing update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s046,0.5508175600736077,0.2128521491645416,0.04185014916454162,0.002514735294117647,10.285714285714286,69,"Supply Chain update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Supply Chain update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s047,1.1643838776997242,0.46245377233165097,0.05109707084303978,0.003577014795553141,8.0,116,"Space Mission update: officials delayed a phased plan measurable milestones, trade-offs, and near-term execution risks.","Space Mission update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s048,0.625796101799853,0.2850493272049535,0.05034582143653539,0.003503037399528629,8.0,68,"City Planning update: officials confirmed a phased plan with measurable milestones, trade-offs, and near-term execution risks.","City Planning update: officials confirmed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s049,0.3435854675580766,0.17083408926565155,0.046761217848992113,0.0031018217854164856,8.6,41,"Cybersecurity Incident update: officials accelerated a token plan with token milestones, trade-offs, and near-term execution risks.","Cybersecurity Incident update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,10
s000,0.8047964597816663,0.39241736581322,0.04990349359435754,0.0031137624747169315,9.076923076923077,111,"Energy Markets update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Energy Markets update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s001,0.40029686660307073,0.2060409773444778,0.05076195542485356,0.003611140044642424,8.833333333333334,44,"Medical Trial update: officials reported a phased plan measurable milestones, trade-offs, and near-term token risks.","Medical Trial update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s002,0.5832607098169503,0.24960698588793734,0.046056031792582594,0.0029933963837552166,8.875,69,"Sports Finals token officials criticized a phased plan with measurable milestones, trade-offs, and token execution risks.","Sports Finals update: officials criticized a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s003,0.8837834481172301,0.36624324619412263,0.04886750273116736,0.0029386642913236598,9.25,109,"Education token update: officials reported a phased plan with measurable milestones, and near-term execution risks.","Education Reform update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s004,0.3727434052012991,0.19173409127755994,0.04357238633326401,0.0030237082641693044,9.833333333333334,50,"Climate Policy update: officials announced token phased plan with measurable milestones, trade-offs, and near-term execution risks.","Climate Policy update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s005,0.7748981917535772,0.3378481729042228,0.050635673615128766,0.00302328946620099,9.454545454545455,96,"Chip Manufacturing update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term risks.","Chip Manufacturing update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s006,0.7986596936350534,0.41281017752515103,0.055538901178496324,0.003760750277333208,7.538461538461538,96,"Supply Chain update: officials confirmed a phased plan token token trade-offs, token near-term execution risks.","Supply Chain update: officials confirmed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s007,0.6145943621596119,0.28433228685428025,0.0483153820888337,0.0031894176319654938,9.333333333333334,75,"Space Mission update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Space Mission update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s008,0.26962529304443966,0.15360158591663395,0.0518434066642691,0.0037688214537912905,8.5,28,"City Planning update: officials rejected a phased plan with token milestones, token and near-term execution risks.","City Planning update: officials rejected a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s009,0.4420494678762651,0.20762388062794535,0.05210443278581812,0.0036167313451657495,7.333333333333333,44,"Cybersecurity Incident update: officials token a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Cybersecurity Incident update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s010,0.3736458930471794,0.1806161230111563,0.05183074186607873,0.003787805327796399,7.4,35,"Energy Markets update: officials criticized a plan with measurable milestones, trade-offs, and near-term execution risks.","Energy Markets update: officials criticized a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s011,0.7128382595767656,0.3163165392517153,0.049859696728661626,0.0031721052681315913,8.6,85,"Medical Trial update: officials rejected phased plan with measurable milestones, trade-offs, and near-term execution risks.","Medical Trial update: officials rejected a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s012,0.6125160354590174,0.24307867585119397,0.04150788202023141,0.002921315852622646,9.5,70,"Sports Finals update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Sports Finals update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s013,0.5716822210268535,0.2616324192457959,0.036271072984217216,0.0023974611304423267,10.666666666666666,95,"Education Reform update: officials reported a phased plan with token milestones, token and near-term execution risks.","Education Reform update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s014,0.5926948576277049,0.2872895562729587,0.0479895997132308,0.0035191170082312932,7.888888888888889,69,"Climate Policy update: officials delayed a phased plan with token milestones, trade-offs, and near-term execution risks.","Climate Policy update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s015,0.6037201126834015,0.3215354959189962,0.054804560514979575,0.003556412472053555,7.6,76,"Chip Manufacturing update: officials expanded token phased plan with measurable milestones, trade-offs, near-term execution risks.","Chip Manufacturing update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s016,0.8183451065129618,0.3527111237461315,0.04533480474468367,0.0027691560270400708,9.583333333333334,112,"Supply Chain update: officials delayed token phased plan with measurable trade-offs, token near-term execution risks.","Supply Chain update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s017,0.3609818696864779,0.17156590252110737,0.04582707060502301,0.002993781712287723,8.8,43,"Space Mission update: officials reported a phased plan with measurable milestones, trade-offs, token near-term execution risks.","Space Mission update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s018,0.7791706483961781,0.3398950199471822,0.04845724656607817,0.0031337394987215484,9.0,94,"City Planning update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.","City Planning update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s019,0.6640596124429297,0.3343390220649346,0.0570050220649345,0.003961914285714287,7.1,71,"Cybersecurity Incident update: officials announced token plan measurable milestones, trade-offs, and near-term execution risks.","Cybersecurity Incident update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s020,0.4473874317894626,0.2540470078453174,0.046014656747457444,0.003410366411440327,8.625,62,"Energy Markets update: officials a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Energy Markets update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s021,0.7016740166904456,0.2889673643384562,0.05124541765821526,0.00300913856557267,9.0,80,"Medical Trial update: a phased plan with measurable milestones, trade-offs, and token execution risks.","Medical Trial update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s022,0.26982640254248835,0.1433931158177894,0.04592934696214082,0.0028665814369308405,9.5,35,"Sports Finals update: officials reported a plan with measurable token trade-offs, and near-term execution risks.","Sports Finals update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s023,0.9238834327218877,0.3921577935320254,0.04753297513525272,0.0034121269148195315,8.307692307692308,102,"Education Reform update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Education Reform update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s024,0.4911760779197928,0.2537004001041451,0.0483025027991321,0.003260284084206555,8.25,64,"token Policy update: officials token a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Climate Policy update: officials criticized a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s025,0.5265248224614837,0.25187696693849176,0.04702340087583002,0.0032516439057565356,9.0,64,"Chip Manufacturing update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Chip Manufacturing update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s026,0.46053019803575174,0.22092648289120898,0.043831270771907724,0.002724541724912327,10.285714285714286,66,"Supply Chain token officials approved a phased plan with measurable milestones, trade-offs, near-term execution token","Supply Chain update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s027,0.5922411063679796,0.28755817667372696,0.0504894897747642,0.00353833861043228,8.222222222222221,68,"Space Mission update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Space Mission update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s028,0.6540007939951386,0.28438523242646224,0.04926712838208449,0.003220795945813394,8.333333333333334,74,"City Planning update: officials expanded a phased with measurable milestones, trade-offs, and near-term execution risks.","City Planning update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s029,0.31607632503454,0.17168907299929553,0.04686620145390985,0.0037825112589510808,8.6,34,"Cybersecurity Incident update: officials approved a phased plan with measurable trade-offs, and near-term execution risks.","Cybersecurity Incident update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s030,0.3735619358610112,0.18209869855377198,0.05145148546778519,0.003531005759080724,7.6,38,"Energy Markets token officials narrowed a phased plan with measurable milestones, trade-offs, and token execution risks.","Energy Markets update: officials narrowed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s031,0.5064970713837244,0.2297147209355898,0.05002817493683272,0.003327528629606613,8.857142857142858,55,"token Trial update: token token phased plan measurable milestones, trade-offs, and near-term execution risks.","Medical Trial update: officials rejected a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s032,1.0325835332216673,0.42374784718325254,0.04959185354574466,0.0032535303794565904,8.714285714285714,116,"Sports Finals update: officials approved token plan with measurable milestones, trade-offs, and near-term execution risks.","Sports Finals update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s033,0.4193210701755314,0.22672732069873136,0.04919343965703325,0.0032278887462126927,9.0,56,"Education Reform update: officials announced a phased plan with measurable milestones, token and near-term execution risks.","Education Reform update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s034,0.37355220219157304,0.19174008739702264,0.042275196772353064,0.003396929332378854,8.0,45,"Climate Policy update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Climate Policy update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s035,0.5501089926441406,0.22468696220869241,0.04714884580389436,0.0030610020069792767,8.428571428571429,59,"token Manufacturing update: officials criticized a phased plan with measurable milestones, trade-offs, token near-term execution risks.","Chip Manufacturing update: officials criticized a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s036,0.8566070956369168,0.3991490846968279,0.04966588905969219,0.0034263058395797618,8.538461538461538,103,"Supply Chain update: officials criticized a phased plan with measurable milestones, trade-offs, and execution risks.","Supply Chain update: officials criticized a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s037,0.3773002608055495,0.2090478685300059,0.05284558487502351,0.004005186760384164,7.333333333333333,40,"Space Mission token officials accelerated a phased plan measurable milestones, trade-offs, near-term execution risks.","Space Mission update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s038,0.6498553215489637,0.28218757017573415,0.045834203933087875,0.0031513782165686175,9.11111111111111,76,"City Planning update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution token","City Planning update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s039,0.26523348659935975,0.1386686128980067,0.042657110366103576,0.003310741466617349,9.5,30,"Cybersecurity Incident update: token expanded token phased plan with measurable milestones, trade-offs, and near-term execution risks.","Cybersecurity Incident update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s040,0.2919050179852297,0.1578516307722499,0.05799009599197875,0.0034435011993196947,7.75,30,"Energy Markets update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Energy Markets update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s041,0.4522746943542049,0.23057090856772838,0.05099297630421174,0.0029929655377252773,9.285714285714286,61,"Medical Trial update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Medical Trial update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s042,0.822108659789595,0.3594465838596612,0.04927356394473724,0.0027448939815479995,10.166666666666666,114,"Sports Finals update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Sports Finals update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s043,0.3743003990759531,0.20003629412305127,0.046225204172064605,0.0038452772487746665,8.166666666666666,41,"Education Reform update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Education Reform update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s044,0.8087539354877417,0.37181169182193136,0.04898952947239872,0.003586912914994807,7.916666666666667,91,"Climate update: officials a phased plan token measurable milestones, trade-offs, and near-term execution risks.","Climate Policy update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s045,0.5642473153222974,0.2683694296461258,0.05301537941782004,0.003530394266037799,7.75,62,"Chip Manufacturing update: officials reported a phased plan with milestones, trade-offs, and near-term execution risks.","Chip Manufacturing update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
s046,0.5508175600736077,0.2128521491645416,0.04185014916454162,0.002514735294117647,10.285714285714286,69,"Supply Chain update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.","Supply Chain update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.",42,det,0.2,5,20
