sample_id,source_text,reference_summary,difficulty,source_words,target_tokens
s018,"Article 18: Analysts covering city planning accelerated a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.49. Source length is approximately 245 words.","City Planning update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.48772773447592543,245,94
s019,"Article 19: Analysts covering cybersecurity incident announced a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.95. Source length is approximately 387 words.","Cybersecurity Incident update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.95,387,71
s020,"Article 20: Analysts covering energy markets expanded a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.51. Source length is approximately 171 words.","Energy Markets update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.5056099791171278,171,62
s021,"Article 21: Analysts covering medical trial announced a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.51. Source length is approximately 354 words.","Medical Trial update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.5110691723905418,354,80
s022,"Article 22: Analysts covering sports finals reported a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.33. Source length is approximately 290 words.","Sports Finals update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.32756789958574317,290,35
s023,"Article 23: Analysts covering education reform accelerated a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.54. Source length is approximately 297 words.","Education Reform update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.5432613666218424,297,102
s024,"Article 24: Analysts covering climate policy criticized a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.49. Source length is approximately 319 words.","Climate Policy update: officials criticized a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.4883772524308548,319,64
s025,"Article 25: Analysts covering chip manufacturing delayed a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.39. Source length is approximately 495 words.","Chip Manufacturing update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.3882769921912431,495,64
s026,"Article 26: Analysts covering supply chain approved a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.21. Source length is approximately 128 words.","Supply Chain update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.21274605019501114,128,66
s027,"Article 27: Analysts covering space mission accelerated a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.59. Source length is approximately 282 words.","Space Mission update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.5877999775114933,282,68
s028,"Article 28: Analysts covering city planning expanded a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.54. Source length is approximately 314 words.","City Planning update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.5350919943704604,314,74
s029,"Article 29: Analysts covering cybersecurity incident approved a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.46. Source length is approximately 508 words.","Cybersecurity Incident update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.457672513325064,508,34
s030,"Article 30: Analysts covering energy markets narrowed a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.80. Source length is approximately 315 words.","Energy Markets update: officials narrowed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.8039048258482555,315,38
s031,"Article 31: Analysts covering medical trial rejected a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.45. Source length is approximately 200 words.","Medical Trial update: officials rejected a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.45022825851381143,200,55
s032,"Article 32: Analysts covering sports finals approved a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.53. Source length is approximately 122 words.","Sports Finals update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.5256686424576625,122,116
s033,"Article 33: Analysts covering education reform announced a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.38. Source length is approximately 462 words.","Education Reform update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.3759049423530474,462,56
s034,"Article 34: Analysts covering climate policy reported a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.45. Source length is approximately 456 words.","Climate Policy update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.45469983032416555,456,45
s035,"Article 35: Analysts covering chip manufacturing criticized a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.44. Source length is approximately 448 words.","Chip Manufacturing update: officials criticized a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.443325758675162,448,59
s036,"Article 36: Analysts covering supply chain criticized a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.58. Source length is approximately 444 words.","Supply Chain update: officials criticized a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.5844888282935509,444,103
s037,"Article 37: Analysts covering space mission accelerated a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.75. Source length is approximately 344 words.","Space Mission update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.7469155194123211,344,40
s038,"Article 38: Analysts covering city planning announced a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.47. Source length is approximately 289 words.","City Planning update: officials announced a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.47024849351810144,289,76
s039,"Article 39: Analysts covering cybersecurity incident expanded a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.26. Source length is approximately 467 words.","Cybersecurity Incident update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.2555308795586857,467,30
s040,"Article 40: Analysts covering energy markets delayed a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.67. Source length is approximately 343 words.","Energy Markets update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.6652547014023376,343,30
s041,"Article 41: Analysts covering medical trial expanded a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.40. Source length is approximately 472 words.","Medical Trial update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.3968464813973466,472,61
s042,"Article 42: Analysts covering sports finals approved a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.22. Source length is approximately 376 words.","Sports Finals update: officials approved a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.22332457601032546,376,114
s043,"Article 43: Analysts covering education reform reported a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.57. Source length is approximately 219 words.","Education Reform update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.572004101988215,219,41
s044,"Article 44: Analysts covering climate policy expanded a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.67. Source length is approximately 416 words.","Climate Policy update: officials expanded a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.671077330155988,416,91
s045,"Article 45: Analysts covering chip manufacturing reported a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.78. Source length is approximately 367 words.","Chip Manufacturing update: officials reported a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.7771770886181886,367,62
s046,"Article 46: Analysts covering supply chain accelerated a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.05. Source length is approximately 251 words.","Supply Chain update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.05,251,69
s047,"Article 47: Analysts covering space mission delayed a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.72. Source length is approximately 288 words.","Space Mission update: officials delayed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.7230208511567427,288,116
s048,"Article 48: Analysts covering city planning confirmed a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.57. Source length is approximately 337 words.","City Planning update: officials confirmed a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.5652268335052726,337,68
s049,"Article 49: Analysts covering cybersecurity incident accelerated a multi-phase update. The report includes stakeholder quotes, timeline details, and policy context. Complexity score=0.43. Source length is approximately 333 words.","Cybersecurity Incident update: officials accelerated a phased plan with measurable milestones, trade-offs, and near-term execution risks.",0.42873732317358915,333,41
